scenario,protocol,profile,seed,duration_ms,offered,delivered,pdr,latency_avg_ms,nrl,nrl_control,energy_est_mj,tx_total,rx_total,tx_control,tx_data,tx_failures,route_discoveries,route_repairs,duplicate_rreq_drops,flood_duplicate_drops
linear_stable,aodv_en,hop_only,1000,120000,100,17,0.170000,565.706,38.294118,25.411765,1420.400,651,799,432,219,25,78,0,59,0
linear_stable,aodv_en,hybrid_default,1017,120000,100,34,0.340000,495.118,23.764706,9.117647,1674.400,808,881,310,498,50,42,0,31,0
linear_stable,aodv_en,hybrid_rssi_bias,1034,120000,100,10,0.100000,121.000,61.100000,43.400000,1346.800,611,767,434,177,29,80,1,62,0
linear_stable,flooding,baseline,1091,120000,100,16,0.160000,1.000,32.062500,0.000000,1209.200,513,742,0,513,0,0,0,0,329
linear_stable,aodv_en,hop_only,1001,120000,100,29,0.290000,373.414,24.862069,10.517241,1492.400,721,784,305,416,40,51,0,37,0
linear_stable,aodv_en,hybrid_default,1018,120000,100,25,0.250000,769.000,28.760000,15.400000,1539.600,719,846,385,334,30,69,0,45,0
linear_stable,aodv_en,hybrid_rssi_bias,1035,120000,100,26,0.260000,277.923,29.230769,12.307692,1563.200,760,814,320,440,49,53,0,34,0
linear_stable,flooding,baseline,1092,120000,100,17,0.170000,1.000,29.352941,0.000000,1192.400,499,742,0,499,0,0,0,0,343
linear_stable,aodv_en,hop_only,1002,120000,100,10,0.100000,121.000,60.500000,39.400000,1307.600,605,727,394,211,30,77,0,54,0
linear_stable,aodv_en,hybrid_default,1019,120000,100,22,0.220000,382.818,36.136364,17.318182,1667.600,795,892,381,414,55,55,0,38,0
linear_stable,aodv_en,hybrid_rssi_bias,1036,120000,100,21,0.210000,343.857,33.619048,19.428571,1506.400,706,824,408,298,30,68,1,51,0
linear_stable,flooding,baseline,1093,120000,100,15,0.150000,1.000,30.533333,0.000000,1076.800,458,659,0,458,0,0,0,0,301
linear_stable,aodv_en,hop_only,1003,120000,100,24,0.240000,351.000,29.833333,13.500000,1492.800,716,792,324,392,46,56,0,39,0
linear_stable,aodv_en,hybrid_default,1020,120000,100,25,0.250000,337.000,29.680000,15.520000,1570.400,742,850,388,354,36,66,0,40,0
